            Australian Bureau of Statistics,,,,,,,,,,
"Socio-Economic Indexes for Australia (SEIFA), 2021",,,,,,,,,,
Released at 10.30am (Canberra time) 27 April 2023,,,,,,,,,,
"Table 1 Local Government Area (LGA) SEIFA Summary, 2021",,,,,,,,,,
,,,,Index of Relative Socio-economic Advantage and Disadvantage,,Index of Economic Resources,,Index of Education and Occupation,,
LGA_CODE_2021,LGA_NAME_2021,Index of Relative Socio-economic Disadvantage Score,Decile,Index of Relative Socio-economic Advantage and Disadvantage Score,Decile,Index of Economic Resources Score,Decile,Index of Education and Occupation Score,Decile,Usual Resident Population
10050,Albury,968,5,950,5,962,4,954,6,56093
10180,Armidale Regional,980,6,976,7,955,3,1010,9,29124
10250,Ballina,1015,8,996,8,1011,8,991,8,46296
10300,Balranald,960,4,934,4,970,4,915,3,2208
10470,Bathurst Regional,991,7,967,7,999,7,959,7,43567
10500,Bayside (NSW),1004,7,1044,9,966,4,1051,9,175184
10550,Bega Valley,986,6,949,5,987,6,946,6,35942
10600,Bellingen,981,6,960,6,983,6,985,8,13253
10650,Berrigan,966,5,927,4,974,5,913,3,8665
10750,Blacktown,987,6,1006,8,1020,9,993,8,396776
10800,Bland,993,7,958,6,1001,7,939,5,5547
10850,Blayney,991,6,962,6,1020,9,942,5,7497
10900,Blue Mountains,1048,9,1042,9,1039,9,1063,9,78121
10950,Bogan,966,5,948,5,989,6,936,5,2467
11150,Bourke,947,3,954,6,947,3,980,8,2340
11200,Brewarrina,818,1,866,1,789,1,917,4,1356
11250,Broken Hill,913,2,892,2,919,2,887,2,17588
11300,Burwood,977,5,1050,9,926,2,1082,10,40217
11350,Byron,1021,8,1027,9,1009,8,1052,9,36116
11400,Cabonne,1023,8,995,8,1044,10,975,8,13766
11450,Camden,1045,9,1050,9,1098,10,1002,8,119325
11500,Campbelltown (NSW),947,3,952,5,981,5,949,6,176519
11520,Canada Bay,1067,10,1116,10,1021,9,1123,10,89177
11570,Canterbury-Bankstown,917,2,966,7,949,3,996,8,371006
