LGA_NAME_2021,OLG Group,Council Type
Albury,4,Regional Town/City
Armidale Regional,4,Regional Town/City
Ballina,4,Regional Town/City
Balranald,9,Rural
Bathurst Regional,4,Regional Town/City
Bayside (NSW),3,Metropolitan
Bega Valley,4,Regional Town/City
Bellingen,11,Large Rural
Berrigan,10,Large Rural
Blacktown,3,Metropolitan
Bland,10,Large Rural
Blayney,10,Large Rural
Blue Mountains,7,Metropolitan Fringe
Bogan,9,Rural
Bourke,9,Rural
Brewarrina,8,Rural
Broken Hill,4,Regional Town/City
Burwood,2,Metropolitan
Byron,4,Regional Town/City
Cabonne,11,Large Rural
Camden,7,Metropolitan Fringe
Campbelltown (NSW),7,Metropolitan Fringe
Canada Bay,3,Metropolitan
Canterbury-Bankstown,3,Metropolitan
Carrathool,9,Rural
Central Coast (NSW),7,Metropolitan Fringe
Central Darling,9,Rural
Cessnock,4,Regional Town/City
Clarence Valley,4,Regional Town/City
Cobar,10,Large Rural
Coffs Harbour,5,Regional Town/City
Coolamon,9,Rural
Coonamble,9,Rural
Cootamundra-Gundagai Regional,11,Large Rural
Cowra,11,Large Rural
Cumberland,3,Metropolitan
Dubbo Regional,4,Regional Town/City
Dungog,10,Large Rural
Edward River,10,Large Rural
Eurobodalla,4,Regional Town/City
Fairfield,3,Metropolitan
Federation,11,Large Rural
Forbes,10,Large Rural
Georges River,3,Metropolitan
Gilgandra,9,Rural
Glen Innes Severn,10,Large Rural
Goulburn Mulwaree,4,Regional Town/City
Greater Hume Shire,11,Large Rural
Griffith,4,Regional Town/City
Gunnedah,11,Large Rural
Gwydir,10,Large Rural
Hawkesbury,6,Metropolitan Fringe
Hay,9,Rural
The Hills Shire,7,Metropolitan Fringe
Hilltops,11,Large Rural
Hornsby,7,Metropolitan Fringe
Hunters Hill,2,Metropolitan
Inner West,3,Metropolitan
Inverell,11,Large Rural
Junee,10,Large Rural
Kempsey,4,Regional Town/City
Kiama,4,Regional Town/City
Ku-ring-gai,3,Metropolitan
Kyogle,10,Large Rural
Lachlan,10,Large Rural
Lake Macquarie,5,Regional Town/City
Lane Cove,2,Metropolitan
Leeton,11,Large Rural
Lismore,4,Regional Town/City
Lithgow,4,Regional Town/City
Liverpool,3,Metropolitan
Liverpool Plains,10,Large Rural
Lockhart,9,Rural
Maitland,5,Regional Town/City
Mid-Coast,5,Regional Town/City
Mid-Western Regional,4,Regional Town/City
Moree Plains,11,Large Rural
Mosman,2,Metropolitan
Murray River,11,Large Rural
Murrumbidgee,9,Rural
Muswellbrook,11,Large Rural
Nambucca Valley,11,Large Rural
Narrabri,11,Large Rural
Narrandera,10,Large Rural
Narromine,10,Large Rural
Newcastle,5,Regional Town/City
North Sydney,3,Metropolitan
Northern Beaches,3,Metropolitan
Oberon,10,Large Rural
Orange,4,Regional Town/City
Parkes,11,Large Rural
Parramatta,3,Metropolitan
Penrith,7,Metropolitan Fringe
Port Macquarie-Hastings,5,Regional Town/City
Port Stephens,5,Regional Town/City
Queanbeyan-Palerang Regional,4,Regional Town/City
Randwick,3,Metropolitan
Richmond Valley,4,Regional Town/City
Ryde,3,Metropolitan
Shellharbour,5,Regional Town/City
Shoalhaven,5,Regional Town/City
Singleton,4,Regional Town/City
Snowy Monaro Regional,4,Regional Town/City
Snowy Valleys,11,Large Rural
Strathfield,2,Metropolitan
Sutherland Shire,3,Metropolitan
Sydney,1,Metropolitan
Tamworth Regional,4,Regional Town/City
Temora,10,Large Rural
Tenterfield,10,Large Rural
Tweed,5,Regional Town/City
Upper Hunter Shire,11,Large Rural
Upper Lachlan Shire,10,Large Rural
Uralla,10,Large Rural
Wagga Wagga,4,Regional Town/City
Walcha,9,Rural
Walgett,10,Large Rural
Warren,9,Rural
Warrumbungle Shire,10,Large Rural
Waverley,3,Metropolitan
Weddin,9,Rural
Wentworth,10,Large Rural
Willoughby,3,Metropolitan
Wingecarribee,4,Regional Town/City
Wollondilly,6,Metropolitan Fringe
Wollongong,5,Regional Town/City
Woollahra,2,Metropolitan
Yass Valley,11,Large Rural
